case,expert_ranking,proxy,aggregation,spearman_mean_Uni1,spearman_std_Uni1,kendall_mean_Uni1,kendall_std_Uni1,n_Uni1,spearman_mean_Uni2,spearman_std_Uni2,kendall_mean_Uni2,kendall_std_Uni2,n_Uni2,delta_spearman,delta_kendall,abs_delta_spearman,abs_delta_kendall
CASE1_strict,1-4-7-6,readTime,per_student,0.405405405,0.49316734,0.346846847,0.462364952,37,0.7,0.325137334,0.642857143,0.382437581,7,-0.294594595,-0.296010296,0.294594595,0.296010296
CASE1_strict,1-4-7-6,readTime,avg,0.8,0,0.666666667,0,4,0.8,0,0.666666667,0,4,0,0,0,0
CASE1_strict,1-4-7-6,readTime,median,0.8,0,0.666666667,0,4,0.8,0,0.666666667,0,4,0,0,0,0
CASE1_strict,1-4-7-6,log_readTime,per_student,0.275675676,0.646573256,0.261261261,0.570206933,37,0.7,0.325137334,0.642857143,0.382437581,7,-0.424324324,-0.381595882,0.424324324,0.381595882
CASE1_strict,1-4-7-6,log_readTime,avg,0.8,0,0.666666667,0,4,0.8,0,0.666666667,0,4,0,0,0,0
CASE1_strict,1-4-7-6,log_readTime,median,0.8,0,0.666666667,0,4,0.8,0,0.666666667,0,4,0,0,0,0
CASE1_strict,1-4-7-6,time_function,per_student,0.027027027,0.562162162,0.009009009,0.480780687,37,0.085714286,0.564240505,0.095238095,0.461683796,7,-0.058687259,-0.086229086,0.058687259,0.086229086
CASE1_strict,1-4-7-6,time_function,avg,0.8,0,0.666666667,0,4,1,0,1,0,4,-0.2,-0.333333333,0.2,0.333333333
CASE1_strict,1-4-7-6,time_function,median,0.8,0,0.666666667,0,4,0.2,0,0,0,4,0.6,0.666666667,0.6,0.666666667
CASE1_strict,1-4-7-6,time_output,per_student,0.462162162,0.461109913,0.400900901,0.423519253,37,0.814285714,0.188441514,0.738095238,0.215604408,7,-0.352123552,-0.337194337,0.352123552,0.337194337
CASE1_strict,1-4-7-6,time_output,avg,1,0,1,0,4,1,0,1,0,4,0,0,0,0
CASE1_strict,1-4-7-6,time_output,median,1,0,1,0,4,1,0,1,0,4,0,0,0,0
CASE1_strict,1-4-7-6,time_syntaxBL,per_student,0.02972973,0.510889455,0.027027027,0.420055612,37,0.342857143,0.296922996,0.261904762,0.233284737,7,-0.313127413,-0.234877735,0.313127413,0.234877735
CASE1_strict,1-4-7-6,time_syntaxBL,avg,0.2,0,0,0,4,0.2,0,0,0,4,0,0,0,0
CASE1_strict,1-4-7-6,time_syntaxBL,median,0.3,0.1,0.166666667,0.166666667,4,-0.1,0.3,-0.166666667,0.166666667,4,0.4,0.333333333,0.4,0.333333333
CASE1_strict,1-4-7-6,time_scaleSM,per_student,0.175675676,0.530886767,0.157657658,0.466515333,37,0.457142857,0.328881841,0.404761905,0.306764255,7,-0.281467181,-0.247104247,0.281467181,0.247104247
CASE1_strict,1-4-7-6,time_scaleSM,avg,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.333333333,0.4,0.333333333
CASE1_strict,1-4-7-6,time_scaleSM,median,0.8,0.141421356,0.666666667,0.23570226,4,0.8,0,0.666666667,0,4,0,0,0,0
CASE1_strict,1-4-7-6,time_scaleST,per_student,0.116216216,0.475629605,0.094594595,0.403700117,37,0.414285714,0.294853821,0.357142857,0.207566616,7,-0.298069498,-0.262548263,0.298069498,0.262548263
CASE1_strict,1-4-7-6,time_scaleST,avg,-0.4,0,-0.333333333,0,4,0.8,0,0.666666667,0,4,-1.2,-1,1.2,1
CASE1_strict,1-4-7-6,time_scaleST,median,0,0,0,0,4,0.3,0.1,0.166666667,0.166666667,4,-0.3,-0.166666667,0.3,0.166666667
CASE1_strict,1-4-7-6,log_time_function,per_student,0.027027027,0.562162162,0.009009009,0.480780687,37,0.085714286,0.564240505,0.095238095,0.461683796,7,-0.058687259,-0.086229086,0.058687259,0.086229086
CASE1_strict,1-4-7-6,log_time_function,avg,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.333333333,0.4,0.333333333
CASE1_strict,1-4-7-6,log_time_function,median,0.8,0,0.666666667,0,4,0.2,0,0,0,4,0.6,0.666666667,0.6,0.666666667
CASE1_strict,1-4-7-6,log_time_output,per_student,0.462162162,0.461109913,0.400900901,0.423519253,37,0.814285714,0.188441514,0.738095238,0.215604408,7,-0.352123552,-0.337194337,0.352123552,0.337194337
CASE1_strict,1-4-7-6,log_time_output,avg,1,0,1,0,4,1,0,1,0,4,0,0,0,0
CASE1_strict,1-4-7-6,log_time_output,median,1,0,1,0,4,1,0,1,0,4,0,0,0,0
CASE1_strict,1-4-7-6,log_time_syntaxBL,per_student,0.02972973,0.510889455,0.027027027,0.420055612,37,0.342857143,0.296922996,0.261904762,0.233284737,7,-0.313127413,-0.234877735,0.313127413,0.234877735
CASE1_strict,1-4-7-6,log_time_syntaxBL,avg,0.2,0,0,0,4,0.2,0,0,0,4,0,0,0,0
CASE1_strict,1-4-7-6,log_time_syntaxBL,median,0.3,0.1,0.166666667,0.166666667,4,-0.1,0.3,-0.166666667,0.166666667,4,0.4,0.333333333,0.4,0.333333333
CASE1_strict,1-4-7-6,log_time_scaleSM,per_student,0.175675676,0.530886767,0.157657658,0.466515333,37,0.457142857,0.328881841,0.404761905,0.306764255,7,-0.281467181,-0.247104247,0.281467181,0.247104247
CASE1_strict,1-4-7-6,log_time_scaleSM,avg,1,0,1,0,4,0.8,0,0.666666667,0,4,0.2,0.333333333,0.2,0.333333333
CASE1_strict,1-4-7-6,log_time_scaleSM,median,0.8,0.141421356,0.666666667,0.23570226,4,0.8,0,0.666666667,0,4,0,0,0,0
CASE1_strict,1-4-7-6,log_time_scaleST,per_student,0.116216216,0.475629605,0.094594595,0.403700117,37,0.414285714,0.294853821,0.357142857,0.207566616,7,-0.298069498,-0.262548263,0.298069498,0.262548263
CASE1_strict,1-4-7-6,log_time_scaleST,avg,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.333333333,0.4,0.333333333
CASE1_strict,1-4-7-6,log_time_scaleST,median,0,0,0,0,4,0.3,0.1,0.166666667,0.166666667,4,-0.3,-0.166666667,0.3,0.166666667
CASE1_strict,1-4-7-6,acc_function,per_student,0.256756757,0.43217898,0.207207207,0.376496823,37,-0.128571429,0.281395937,-0.119047619,0.212958855,7,0.385328185,0.326254826,0.385328185,0.326254826
CASE1_strict,1-4-7-6,acc_function,avg,0.4,0,0.333333333,0,4,-0.3,0.3,-0.166666667,0.166666667,4,0.7,0.5,0.7,0.5
CASE1_strict,1-4-7-6,acc_function,median,0.4,0.282842712,0.333333333,0.23570226,4,-0.7,0.1,-0.5,0.166666667,4,1.1,0.833333333,1.1,0.833333333
CASE1_strict,1-4-7-6,acc_output,per_student,0.318918919,0.28459344,0.265765766,0.2371612,37,0.371428571,0.24907994,0.30952381,0.207566616,7,-0.052509653,-0.043758044,0.052509653,0.043758044
CASE1_strict,1-4-7-6,acc_output,avg,0.8,0,0.666666667,0,4,0.6,0.2,0.5,0.166666667,4,0.2,0.166666667,0.2,0.166666667
