case,expert_ranking,proxy,aggregation,spearman,kendall,n
CASE1_strict,6-Jul,background_familiarity,avg,1,1,6
CASE1_strict,5/7/06,background_familiarity,avg,-0.5,-0.333333333,6
CASE1_strict,2/7/06,background_familiarity,avg,-0.5,-0.333333333,6
CASE1_strict,2-5-7-6,background_familiarity,avg,-0.6,-0.333333333,6
CASE2_unanimous_up_to_ties,2/7/06,background_familiarity,avg,-0.5,-0.333333333,6
CASE2_unanimous_up_to_ties,2/7/08,background_familiarity,avg,-0.5,-0.333333333,6
CASE2_unanimous_up_to_ties,2-5-3-6,background_familiarity,avg,-0.2,0,6
CASE2_unanimous_up_to_ties,2-5-3-8,background_familiarity,avg,-0.2,0,6
CASE2_unanimous_up_to_ties,2-5-7-6,background_familiarity,avg,-0.6,-0.333333333,6
CASE2_unanimous_up_to_ties,2-5-7-8,background_familiarity,avg,-0.6,-0.333333333,6
CASE3_one_violation,2-5-7-6,background_familiarity,avg,-0.6,-0.333333333,6
CASE3_one_violation,2-5-7-8,background_familiarity,avg,-0.6,-0.333333333,6
CASE3_one_violation,2-7-6-8,background_familiarity,avg,-0.2,0,6
CASE3_one_violation,2-7-8-6,background_familiarity,avg,-0.4,-0.333333333,6
CASE3_one_violation,2-5-3-6-8,background_familiarity,avg,-0.5,-0.2,6
CASE3_one_violation,2-5-3-7-6,background_familiarity,avg,-0.5,-0.2,6
CASE3_one_violation,2-5-3-7-8,background_familiarity,avg,-0.5,-0.2,6
CASE3_one_violation,2-5-3-8-6,background_familiarity,avg,-0.6,-0.4,6
CASE3_one_violation,2-5-7-6,background_familiarity,avg,-0.6,-0.333333333,6
CASE3_one_violation,2-5-7-8,background_familiarity,avg,-0.6,-0.333333333,6
CASE3_one_violation,2-5-7-3-6,background_familiarity,avg,-0.1,0,6
CASE3_one_violation,2-5-7-3-8,background_familiarity,avg,-0.1,0,6
CASE3_one_violation,2-5-7-6-8,background_familiarity,avg,-0.5,-0.2,6
CASE3_one_violation,2-5-7-8-6,background_familiarity,avg,-0.6,-0.4,6
CASE4_majority,2-5-3-7-8-6,background_familiarity,avg,-0.6,-0.333333333,6
CASE5_mean_rank,2-5-3-7-8-6,background_familiarity,avg,-0.6,-0.333333333,6
