case,expert_ranking,proxy,aggregation,spearman_mean,spearman_std,kendall_mean,kendall_std,n
strict,1-4-7-6,readTime,per_student,0.45411679159282253,0.4839757070845461,0.3968316701518283,0.4655824844288441,44
strict,1-4-7-6,readTime,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,log_readTime,per_student,0.3969551228132826,0.5865300841075424,0.35189007380896353,0.5245600775360447,44
strict,1-4-7-6,log_readTime,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,time_function,per_student,0.03636363636363637,0.5629027483786444,0.02272727272727274,0.478833427062439,44
strict,1-4-7-6,time_function,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,time_output,per_student,0.5201488201232531,0.44974824930473106,0.4574377307578889,0.41844253706155105,44
strict,1-4-7-6,time_output,avg,1.0,0.0,1.0,0.0,4
strict,1-4-7-6,time_syntaxBL,per_student,0.07619203653302832,0.5122763871205396,0.06041003614735371,0.42715540338825936,44
strict,1-4-7-6,time_syntaxBL,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,1-4-7-6,time_scaleSM,per_student,0.23995517507561737,0.5549113122468132,0.22156434590370902,0.5086624848094702,44
strict,1-4-7-6,time_scaleSM,avg,1.0,0.0,1.0,0.0,4
strict,1-4-7-6,time_scaleST,per_student,0.1789412520836614,0.4997981693853164,0.15689086055063906,0.4393882401162413,44
strict,1-4-7-6,time_scaleST,avg,0.316227766016838,0.0,0.18257418583505539,0.0,4
strict,1-4-7-6,log_time_function,per_student,0.03636363636363637,0.5629027483786444,0.02272727272727274,0.478833427062439,44
strict,1-4-7-6,log_time_function,avg,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,1-4-7-6,log_time_output,per_student,0.5201488201232531,0.44974824930473106,0.4574377307578889,0.41844253706155105,44
strict,1-4-7-6,log_time_output,avg,1.0,0.0,1.0,0.0,4
strict,1-4-7-6,log_time_syntaxBL,per_student,0.07619203653302832,0.5122763871205396,0.06041003614735371,0.42715540338825936,44
strict,1-4-7-6,log_time_syntaxBL,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,1-4-7-6,log_time_scaleSM,per_student,0.23995517507561737,0.5549113122468132,0.22156434590370902,0.5086624848094702,44
strict,1-4-7-6,log_time_scaleSM,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,log_time_scaleST,per_student,0.1789412520836614,0.4997981693853164,0.15689086055063906,0.4393882401162413,44
strict,1-4-7-6,log_time_scaleST,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,time_correct_function,per_student,-0.23589635306407855,0.7944985277589051,-0.1951938832033941,0.7649596308622231,32
strict,1-4-7-6,time_correct_function,avg,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,1-4-7-6,time_correct_output,per_student,0.5551724137931034,0.5537248208000394,0.5287356321839081,0.5289854482300621,29
strict,1-4-7-6,time_correct_output,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,time_correct_syntaxBL,per_student,-0.0022797908595547063,0.5597572115542326,-0.025936072113147805,0.49587111906642456,42
strict,1-4-7-6,time_correct_syntaxBL,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,1-4-7-6,log_time_correct_function,per_student,-0.23589635306407855,0.7944985277589051,-0.1951938832033941,0.7649596308622231,32
strict,1-4-7-6,log_time_correct_function,avg,-0.6000000000000001,0.0,-0.3333333333333334,0.0,4
strict,1-4-7-6,log_time_correct_output,per_student,0.5551724137931034,0.5537248208000394,0.5287356321839081,0.5289854482300621,29
strict,1-4-7-6,log_time_correct_output,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,log_time_correct_syntaxBL,per_student,-0.0022797908595547063,0.5597572115542326,-0.025936072113147805,0.49587111906642456,42
strict,1-4-7-6,log_time_correct_syntaxBL,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,1-4-7-6,acc_function,per_student,0.1783669475382177,0.5047285295993831,0.14151043455039602,0.4613058418681049,44
strict,1-4-7-6,acc_function,avg,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,1-4-7-6,acc_output,per_student,0.4004941246789659,0.34845751235381733,0.3655994437249268,0.3180967330805348,44
strict,1-4-7-6,acc_output,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,acc_syntaxBL,per_student,0.052813409266464766,0.2172803345948567,0.04821182598999188,0.19834890093312196,44
strict,1-4-7-6,acc_syntaxBL,avg,-0.21081851067789195,0.0,-0.18257418583505539,0.0,4
strict,1-4-7-6,scaleSM,per_student,0.6644815254709754,0.23811053219059594,0.5966080940718711,0.24176997638637612,44
strict,1-4-7-6,scaleSM,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,scaleST,per_student,0.6489528392539138,0.23660394025775675,0.5784222835764452,0.23841519095131466,44
strict,1-4-7-6,scaleST,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-5-7-6,readTime,per_student,0.4143739893644016,0.43809880229760306,0.3382058157008751,0.4094966828886564,44
strict,1-5-7-6,readTime,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-5-7-6,log_readTime,per_student,0.36615496615177023,0.5853396107853245,0.29960395876897866,0.5216379537175598,44
strict,1-5-7-6,log_readTime,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-5-7-6,time_function,per_student,0.07438531189330158,0.5431596274854122,0.06745874912870962,0.46274851253446353,44
strict,1-5-7-6,time_function,avg,1.0,0.0,1.0,0.0,4
strict,1-5-7-6,time_output,per_student,0.5761064385920571,0.45268040959484657,0.513171308996408,0.39637072681702773,44
strict,1-5-7-6,time_output,avg,1.0,0.0,1.0,0.0,4
strict,1-5-7-6,time_syntaxBL,per_student,-0.016129218299412076,0.454542115964777,-0.026349641447304138,0.3648891341681503,44
strict,1-5-7-6,time_syntaxBL,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,1-5-7-6,time_scaleSM,per_student,0.19111774662762535,0.5375677235744621,0.16706678582997936,0.46695640592247567,44
strict,1-5-7-6,time_scaleSM,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-5-7-6,time_scaleST,per_student,0.1659948090062857,0.4808675515886318,0.13946703073516495,0.4281667024836172,44
strict,1-5-7-6,time_scaleST,avg,0.0,0.0,0.0,0.0,4
strict,1-5-7-6,log_time_function,per_student,0.07438531189330158,0.5431596274854122,0.06745874912870962,0.46274851253446353,44
strict,1-5-7-6,log_time_function,avg,1.0,0.0,1.0,0.0,4
strict,1-5-7-6,log_time_output,per_student,0.5761064385920571,0.45268040959484657,0.513171308996408,0.39637072681702773,44
strict,1-5-7-6,log_time_output,avg,1.0,0.0,1.0,0.0,4
strict,1-5-7-6,log_time_syntaxBL,per_student,-0.016129218299412076,0.454542115964777,-0.026349641447304138,0.3648891341681503,44
strict,1-5-7-6,log_time_syntaxBL,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,1-5-7-6,log_time_scaleSM,per_student,0.19111774662762535,0.5375677235744621,0.16706678582997936,0.46695640592247567,44
strict,1-5-7-6,log_time_scaleSM,avg,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,1-5-7-6,log_time_scaleST,per_student,0.1659948090062857,0.4808675515886318,0.13946703073516495,0.4281667024836172,44
strict,1-5-7-6,log_time_scaleST,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-5-7-6,time_correct_function,per_student,-0.21250000000000002,0.7087621251167417,-0.17708333333333331,0.6717740557244263,32
strict,1-5-7-6,time_correct_function,avg,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,1-5-7-6,time_correct_output,per_student,0.46388888888888885,0.6316437013317704,0.4166666666666667,0.6002828551381753,36
strict,1-5-7-6,time_correct_output,avg,1.0,0.0,1.0,0.0,4
strict,1-5-7-6,time_correct_syntaxBL,per_student,-0.06016776849273166,0.4877645243034764,-0.08088008119064019,0.40606278319388855,42
strict,1-5-7-6,time_correct_syntaxBL,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,1-5-7-6,log_time_correct_function,per_student,-0.21250000000000002,0.7087621251167417,-0.17708333333333331,0.6717740557244263,32
strict,1-5-7-6,log_time_correct_function,avg,-0.39999999999999997,0.0,-0.3333333333333334,0.0,4
strict,1-5-7-6,log_time_correct_output,per_student,0.46388888888888885,0.6316437013317704,0.4166666666666667,0.6002828551381753,36
strict,1-5-7-6,log_time_correct_output,avg,1.0,0.0,1.0,0.0,4
strict,1-5-7-6,log_time_correct_syntaxBL,per_student,-0.06016776849273166,0.4877645243034764,-0.08088008119064019,0.40606278319388855,42
strict,1-5-7-6,log_time_correct_syntaxBL,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,1-5-7-6,acc_function,per_student,0.2406659000189727,0.5048843505163739,0.20290433877194083,0.4561493763559759,44
strict,1-5-7-6,acc_function,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-5-7-6,acc_output,per_student,0.4877867350124578,0.36298907813163733,0.4452863300301971,0.33136217703450505,44
strict,1-5-7-6,acc_output,avg,1.0,0.0,1.0,0.0,4
strict,1-5-7-6,acc_syntaxBL,per_student,0.02934078292581376,0.22840626411638384,0.026784347772217717,0.20850543855337708,44
strict,1-5-7-6,acc_syntaxBL,avg,-0.19999999999999998,0.0,0.0,0.0,4
strict,1-5-7-6,scaleSM,per_student,0.5836536056330593,0.24090524551864362,0.5128709443683125,0.24483298879553247,44
strict,1-5-7-6,scaleSM,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-5-7-6,scaleST,per_student,0.577618484143644,0.21624275058285622,0.5099088665743468,0.21577442933425106,44
strict,1-5-7-6,scaleST,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,2-4-7-6,readTime,per_student,0.25939987186631513,0.5191626799895396,0.2198859707011881,0.478722688426242,44
strict,2-4-7-6,readTime,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,2-4-7-6,log_readTime,per_student,0.1749654758140481,0.5893569612108686,0.15979285920680816,0.5114562095309093,44
strict,2-4-7-6,log_readTime,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,2-4-7-6,time_function,per_student,0.08636363636363636,0.6243509026074815,0.06818181818181822,0.5576807378115074,44
strict,2-4-7-6,time_function,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,2-4-7-6,time_output,per_student,0.4636994511690903,0.5466916021619257,0.39412839494361246,0.5119443824512722,44
strict,2-4-7-6,time_output,avg,1.0,0.0,1.0,0.0,4
strict,2-4-7-6,time_syntaxBL,per_student,-0.16748476957826228,0.6090474127268053,-0.15894186650494418,0.5409868538155226,44
strict,2-4-7-6,time_syntaxBL,avg,-1.0,0.0,-1.0,0.0,4
strict,2-4-7-6,time_scaleSM,per_student,0.016214742833379328,0.6172517382539102,0.01764799666587907,0.5499693864129703,44
strict,2-4-7-6,time_scaleSM,avg,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,2-4-7-6,time_scaleST,per_student,-0.007686326238891921,0.5409414830327925,-0.028778649410046063,0.4745333395539608,44
strict,2-4-7-6,time_scaleST,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,2-4-7-6,log_time_function,per_student,0.08636363636363636,0.6243509026074815,0.06818181818181822,0.5576807378115074,44
strict,2-4-7-6,log_time_function,avg,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,2-4-7-6,log_time_output,per_student,0.4636994511690903,0.5466916021619257,0.39412839494361246,0.5119443824512722,44
strict,2-4-7-6,log_time_output,avg,1.0,0.0,1.0,0.0,4
strict,2-4-7-6,log_time_syntaxBL,per_student,-0.16748476957826228,0.6090474127268053,-0.15894186650494418,0.5409868538155226,44
strict,2-4-7-6,log_time_syntaxBL,avg,-0.7999999999999999,0.0,-0.6666666666666669,0.0,4
strict,2-4-7-6,log_time_scaleSM,per_student,0.016214742833379328,0.6172517382539102,0.01764799666587907,0.5499693864129703,44
strict,2-4-7-6,log_time_scaleSM,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,2-4-7-6,log_time_scaleST,per_student,-0.007686326238891921,0.5409414830327925,-0.028778649410046063,0.4745333395539608,44
strict,2-4-7-6,log_time_scaleST,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,2-4-7-6,time_correct_function,per_student,0.11499999999999999,0.7192183256842112,0.1333333333333333,0.6616477747093069,20
strict,2-4-7-6,time_correct_function,avg,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,2-4-7-6,time_correct_output,per_student,0.4620689655172414,0.6493571320151413,0.4482758620689655,0.6206896551724138,29
strict,2-4-7-6,time_correct_output,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,2-4-7-6,time_correct_syntaxBL,per_student,-0.2512879179378443,0.6868780621373441,-0.25624075670659524,0.6394871767327364,42
strict,2-4-7-6,time_correct_syntaxBL,avg,-0.39999999999999997,0.0,-0.3333333333333334,0.0,4
strict,2-4-7-6,log_time_correct_function,per_student,0.11499999999999999,0.7192183256842112,0.1333333333333333,0.6616477747093069,20
strict,2-4-7-6,log_time_correct_function,avg,-0.6000000000000001,0.0,-0.3333333333333334,0.0,4
strict,2-4-7-6,log_time_correct_output,per_student,0.4620689655172414,0.6493571320151413,0.4482758620689655,0.6206896551724138,29
strict,2-4-7-6,log_time_correct_output,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,2-4-7-6,log_time_correct_syntaxBL,per_student,-0.2512879179378443,0.6868780621373441,-0.25624075670659524,0.6394871767327364,42
strict,2-4-7-6,log_time_correct_syntaxBL,avg,-0.39999999999999997,0.0,-0.3333333333333334,0.0,4
strict,2-4-7-6,acc_function,per_student,-0.11809673408987448,0.6127785944709149,-0.13096552715244017,0.5468177455599806,44
strict,2-4-7-6,acc_function,avg,-0.316227766016838,0.0,-0.18257418583505539,0.0,4
strict,2-4-7-6,acc_output,per_student,0.33322098129312033,0.4058587850270407,0.3041877468137484,0.37049668620158366,44
strict,2-4-7-6,acc_output,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,2-4-7-6,acc_syntaxBL,per_student,-0.18264259258399473,0.36511416028533267,-0.16672911319913283,0.3333021027547226,44
strict,2-4-7-6,acc_syntaxBL,avg,-0.632455532033676,0.0,-0.5477225575051662,0.0,4
strict,2-4-7-6,scaleSM,per_student,0.35597256789715154,0.3888609312260628,0.2863527062142237,0.3525836907131722,44
strict,2-4-7-6,scaleSM,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,2-4-7-6,scaleST,per_student,0.36706851851542444,0.43200039245182165,0.30972850241475053,0.4033039962333308,44
strict,2-4-7-6,scaleST,avg,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,2-5-7-6,readTime,per_student,0.2328016827888993,0.5295751515480323,0.183264319924399,0.47593612926910456,44
strict,2-5-7-6,readTime,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,2-5-7-6,log_readTime,per_student,0.15780168278889928,0.5954139911256566,0.13023401689409597,0.5156232962850992,44
strict,2-5-7-6,log_readTime,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,2-5-7-6,time_function,per_student,0.10429957930277521,0.5617706331074191,0.07918392001890028,0.47889035009749475,44
strict,2-5-7-6,time_function,avg,1.0,0.0,1.0,0.0,4
strict,2-5-7-6,time_output,per_student,0.5105661605469852,0.49566705767878755,0.4339873889775077,0.45286785008744995,44
strict,2-5-7-6,time_output,avg,1.0,0.0,1.0,0.0,4
strict,2-5-7-6,time_syntaxBL,per_student,-0.2297089692912764,0.5227273576514248,-0.1941173791755162,0.4330946413366878,44
strict,2-5-7-6,time_syntaxBL,avg,-0.7999999999999999,0.0,-0.6666666666666669,0.0,4
strict,2-5-7-6,time_scaleSM,per_student,0.001818316467737044,0.5842604984840748,0.016793677716439203,0.5039949421191504,44
strict,2-5-7-6,time_scaleSM,avg,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,2-5-7-6,time_scaleST,per_student,-0.017674832146790876,0.5041652009049536,-0.041098757979341115,0.43846355154328337,44
strict,2-5-7-6,time_scaleST,avg,0.0,0.0,0.0,0.0,4
strict,2-5-7-6,log_time_function,per_student,0.10429957930277521,0.5617706331074191,0.07918392001890028,0.47889035009749475,44
strict,2-5-7-6,log_time_function,avg,1.0,0.0,1.0,0.0,4
strict,2-5-7-6,log_time_output,per_student,0.5105661605469852,0.49566705767878755,0.4339873889775077,0.45286785008744995,44
strict,2-5-7-6,log_time_output,avg,1.0,0.0,1.0,0.0,4
strict,2-5-7-6,log_time_syntaxBL,per_student,-0.2297089692912764,0.5227273576514248,-0.1941173791755162,0.4330946413366878,44
strict,2-5-7-6,log_time_syntaxBL,avg,-0.7999999999999999,0.0,-0.6666666666666669,0.0,4
strict,2-5-7-6,log_time_scaleSM,per_student,0.001818316467737044,0.5842604984840748,0.016793677716439203,0.5039949421191504,44
strict,2-5-7-6,log_time_scaleSM,avg,0.0,0.0,0.0,0.0,4
strict,2-5-7-6,log_time_scaleST,per_student,-0.017674832146790876,0.5041652009049536,-0.041098757979341115,0.43846355154328337,44
strict,2-5-7-6,log_time_scaleST,avg,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,2-5-7-6,time_correct_function,per_student,0.019999999999999997,0.6562011886609167,0.05,0.5703312877422891,20
strict,2-5-7-6,time_correct_function,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,2-5-7-6,time_correct_output,per_student,0.36319656758972096,0.7295244343747979,0.3307707136031945,0.6978509610085836,34
strict,2-5-7-6,time_correct_output,avg,1.0,0.0,1.0,0.0,4
strict,2-5-7-6,time_correct_syntaxBL,per_student,-0.32527046276694727,0.6047765551068688,-0.31746204262508615,0.5659761148700704,40
strict,2-5-7-6,time_correct_syntaxBL,avg,-0.39999999999999997,0.0,-0.3333333333333334,0.0,4
strict,2-5-7-6,log_time_correct_function,per_student,0.019999999999999997,0.6562011886609167,0.05,0.5703312877422891,20
strict,2-5-7-6,log_time_correct_function,avg,-0.39999999999999997,0.0,-0.3333333333333334,0.0,4
strict,2-5-7-6,log_time_correct_output,per_student,0.36319656758972096,0.7295244343747979,0.3307707136031945,0.6978509610085836,34
strict,2-5-7-6,log_time_correct_output,avg,1.0,0.0,1.0,0.0,4
