case,expert_ranking,proxy,aggregation,spearman_mean,spearman_std,kendall_mean,kendall_std,n
strict,1-4-7-6,readTime,per_student,0.40540540540540543,0.49316733958733155,0.34684684684684686,0.46236495208491324,37
strict,1-4-7-6,readTime,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,readTime,median,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,log_readTime,per_student,0.27567567567567564,0.6465732564024077,0.2612612612612613,0.5702069332773572,37
strict,1-4-7-6,log_readTime,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,log_readTime,median,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,time_function,per_student,0.02702702702702702,0.5621621621621621,0.009009009009009021,0.48078068699554366,37
strict,1-4-7-6,time_function,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,time_function,median,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,time_output,per_student,0.4621621621621621,0.4611099132330724,0.40090090090090097,0.4235192531006544,37
strict,1-4-7-6,time_output,avg,1.0,0.0,1.0,0.0,4
strict,1-4-7-6,time_output,median,1.0,0.0,1.0,0.0,4
strict,1-4-7-6,time_syntaxBL,per_student,0.029729729729729714,0.5108894548354752,0.027027027027027032,0.42005561177927103,37
strict,1-4-7-6,time_syntaxBL,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,1-4-7-6,time_syntaxBL,median,0.3,0.09999999999999999,0.1666666666666667,0.1666666666666667,4
strict,1-4-7-6,time_scaleSM,per_student,0.17567567567567566,0.5308867672852635,0.15765765765765768,0.46651533251801425,37
strict,1-4-7-6,time_scaleSM,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,time_scaleSM,median,0.7999999999999999,0.14142135623730948,0.6666666666666669,0.2357022603955158,4
strict,1-4-7-6,time_scaleST,per_student,0.11621621621621624,0.4756296046485283,0.09459459459459461,0.40370011716050597,37
strict,1-4-7-6,time_scaleST,avg,-0.39999999999999997,0.0,-0.3333333333333334,0.0,4
strict,1-4-7-6,time_scaleST,median,0,0,0,0,4
strict,1-4-7-6,log_time_function,per_student,0.02702702702702702,0.5621621621621621,0.009009009009009021,0.48078068699554366,37
strict,1-4-7-6,log_time_function,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,log_time_function,median,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,log_time_output,per_student,0.4621621621621621,0.4611099132330724,0.40090090090090097,0.4235192531006544,37
strict,1-4-7-6,log_time_output,avg,1.0,0.0,1.0,0.0,4
strict,1-4-7-6,log_time_output,median,1.0,0.0,1.0,0.0,4
strict,1-4-7-6,log_time_syntaxBL,per_student,0.029729729729729714,0.5108894548354752,0.027027027027027032,0.42005561177927103,37
strict,1-4-7-6,log_time_syntaxBL,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,1-4-7-6,log_time_syntaxBL,median,0.3,0.09999999999999999,0.1666666666666667,0.1666666666666667,4
strict,1-4-7-6,log_time_scaleSM,per_student,0.17567567567567566,0.5308867672852635,0.15765765765765768,0.46651533251801425,37
strict,1-4-7-6,log_time_scaleSM,avg,1.0,0.0,1.0,0.0,4
strict,1-4-7-6,log_time_scaleSM,median,0.7999999999999999,0.14142135623730948,0.6666666666666669,0.2357022603955158,4
strict,1-4-7-6,log_time_scaleST,per_student,0.11621621621621624,0.4756296046485283,0.09459459459459461,0.40370011716050597,37
strict,1-4-7-6,log_time_scaleST,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,log_time_scaleST,median,0,0,0,0,4
strict,1-4-7-6,time_correct_function,per_student,0.024999999999999994,0.7137051211810098,0.0052083333333333565,0.6620732050305649,32
strict,1-4-7-6,time_correct_function,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,time_correct_function,median,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,1-4-7-6,time_correct_output,per_student,0.3545454545454545,0.7043548129169978,0.3181818181818182,0.6851769123996978,22
strict,1-4-7-6,time_correct_output,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,time_correct_output,median,1.0,0.0,1.0,0.0,4
strict,1-4-7-6,time_correct_syntaxBL,per_student,0.04,0.5990230141059452,0.023809523809523805,0.5104353217471091,35
strict,1-4-7-6,time_correct_syntaxBL,avg,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,1-4-7-6,time_correct_syntaxBL,median,0.3,0.09999999999999999,0.1666666666666667,0.1666666666666667,4
strict,1-4-7-6,log_time_correct_function,per_student,0.024999999999999994,0.7137051211810098,0.0052083333333333565,0.6620732050305649,32
strict,1-4-7-6,log_time_correct_function,avg,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,1-4-7-6,log_time_correct_function,median,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,1-4-7-6,log_time_correct_output,per_student,0.3545454545454545,0.7043548129169978,0.3181818181818182,0.6851769123996978,22
strict,1-4-7-6,log_time_correct_output,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,log_time_correct_output,median,1.0,0.0,1.0,0.0,4
strict,1-4-7-6,log_time_correct_syntaxBL,per_student,0.04,0.5990230141059452,0.023809523809523805,0.5104353217471091,35
strict,1-4-7-6,log_time_correct_syntaxBL,avg,0.19999999999999998,0.0,0.0,0.0,4
strict,1-4-7-6,log_time_correct_syntaxBL,median,0.3,0.09999999999999999,0.1666666666666667,0.1666666666666667,4
strict,1-4-7-6,acc_function,per_student,0.24324324324324328,0.4309264316346506,0.20270270270270274,0.3759575065741502,37
strict,1-4-7-6,acc_function,avg,0.39999999999999997,0.0,0.3333333333333334,0.0,4
strict,1-4-7-6,acc_function,median,0.39999999999999997,0.282842712474619,0.3333333333333334,0.23570226039551592,4
strict,1-4-7-6,acc_output,per_student,0.3189189189189188,0.28459343959109584,0.2657657657657658,0.2371611996592466,37
strict,1-4-7-6,acc_output,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4
strict,1-4-7-6,acc_output,median,0.39999999999999997,0.282842712474619,0.3333333333333334,0.23570226039551592,4
strict,1-4-7-6,acc_syntaxBL,per_student,0.03783783783783785,0.17911396244087452,0.03153153153153154,0.14926163536739545,37
