student_id,snippet_id,question,value,time_sec,log_time_sec
0,1,function,3,23,3.1354942159291497
0,1,output,1,12,2.4849066497880004
0,1,syntaxBL,1,3,1.0986122886681098
0,1,scaleSM,1,2,0.6931471805599453
0,1,scaleST,1,2,0.6931471805599453
0,2,function,4,42,3.7376696182833684
0,2,output,1,42,3.7376696182833684
0,2,syntaxBL,1,7,1.9459101490553132
0,2,scaleSM,2,3,1.0986122886681098
0,2,scaleST,2,2,0.6931471805599453
0,3,function,3,22,3.091042453358316
0,3,output,1,57,4.04305126783455
0,3,syntaxBL,1,23,3.1354942159291497
0,3,scaleSM,2,3,1.0986122886681098
0,3,scaleST,2,5,1.6094379124341003
0,4,function,5,111,4.709530201312334
0,4,output,0,15,2.70805020110221
0,4,syntaxBL,1,5,1.6094379124341003
0,4,scaleSM,4,4,1.3862943611198906
0,4,scaleST,2,3,1.0986122886681098
0,5,function,3,81,4.394449154672439
0,5,output,0,91,4.51085950651685
0,5,syntaxBL,1,14,2.6390573296152584
0,5,scaleSM,3,3,1.0986122886681098
0,5,scaleST,3,3,1.0986122886681098
0,6,function,1,64,4.1588830833596715
0,6,output,0,70,4.248495242049359
0,6,syntaxBL,1,5,1.6094379124341003
0,6,scaleSM,4,3,1.0986122886681098
0,6,scaleST,3,3,1.0986122886681098
0,7,function,5,17,2.833213344056216
0,7,output,1,85,4.442651256490317
0,7,syntaxBL,1,4,1.3862943611198906
0,7,scaleSM,1,2,0.6931471805599453
0,7,scaleST,1,2,0.6931471805599453
0,8,function,3,73,4.290459441148391
0,8,output,1,62,4.127134385045092
0,8,syntaxBL,1,4,1.3862943611198906
0,8,scaleSM,3,4,1.3862943611198906
0,8,scaleST,3,3,1.0986122886681098
1,1,function,5,141,4.948759890378168
1,1,output,1,12,2.4849066497880004
1,1,syntaxBL,1,4,1.3862943611198906
1,1,scaleSM,1,2,0.6931471805599453
1,1,scaleST,1,2,0.6931471805599453
1,2,function,1,18,2.8903717578961645
1,2,output,1,27,3.295836866004329
1,2,syntaxBL,1,7,1.9459101490553132
1,2,scaleSM,3,9,2.1972245773362196
1,2,scaleST,2,3,1.0986122886681098
1,3,function,2,294,5.683579767338681
1,3,output,1,65,4.174387269895637
1,3,syntaxBL,1,14,2.6390573296152584
1,3,scaleSM,5,5,1.6094379124341003
1,3,scaleST,4,6,1.791759469228055
1,4,function,2,127,4.844187086458591
1,4,output,1,45,3.8066624897703196
1,4,syntaxBL,1,11,2.3978952727983707
1,4,scaleSM,2,3,1.0986122886681098
1,4,scaleST,2,3,1.0986122886681098
1,5,function,3,27,3.295836866004329
1,5,output,1,39,3.6635616461296463
1,5,syntaxBL,1,30,3.4011973816621555
1,5,scaleSM,2,10,2.302585092994046
1,5,scaleST,1,3,1.0986122886681098
1,6,function,5,94,4.543294782270004
1,6,output,1,121,4.795790545596741
1,6,syntaxBL,1,8,2.0794415416798357
1,6,scaleSM,3,7,1.9459101490553132
1,6,scaleST,4,7,1.9459101490553132
1,7,function,5,57,4.04305126783455
1,7,output,1,121,4.795790545596741
1,7,syntaxBL,1,6,1.791759469228055
1,7,scaleSM,1,3,1.0986122886681098
1,7,scaleST,1,2,0.6931471805599453
1,8,function,5,68,4.219507705176107
1,8,output,0,121,4.795790545596741
1,8,syntaxBL,1,5,1.6094379124341003
1,8,scaleSM,2,3,1.0986122886681098
1,8,scaleST,1,3,1.0986122886681098
2,1,function,3,48,3.871201010907891
2,1,output,1,35,3.5553480614894135
2,1,syntaxBL,1,5,1.6094379124341003
2,1,scaleSM,2,8,2.0794415416798357
2,1,scaleST,2,3,1.0986122886681098
2,2,function,3,45,3.8066624897703196
2,2,output,1,71,4.2626798770413155
2,2,syntaxBL,0,15,2.70805020110221
2,2,scaleSM,3,3,1.0986122886681098
2,2,scaleST,3,4,1.3862943611198906
2,3,function,1,82,4.406719247264253
2,3,output,1,108,4.68213122712422
2,3,syntaxBL,1,13,2.5649493574615367
2,3,scaleSM,4,3,1.0986122886681098
2,3,scaleST,4,4,1.3862943611198906
2,4,function,4,68,4.219507705176107
2,4,output,1,125,4.8283137373023015
2,4,syntaxBL,1,9,2.1972245773362196
2,4,scaleSM,2,9,2.1972245773362196
