student_id,snippet_id,question,value,time_sec,log_time_sec
0,1,function,5,87,4.465908118654584
0,1,output,1,31,3.4339872044851463
0,1,syntaxBL,1,9,2.1972245773362196
0,1,scaleSM,2,6,1.791759469228055
0,1,scaleST,2,3,1.0986122886681098
0,2,function,3,23,3.1354942159291497
0,2,output,1,34,3.5263605246161616
0,2,syntaxBL,0,5,1.6094379124341003
0,2,scaleSM,1,3,1.0986122886681098
0,2,scaleST,1,5,1.6094379124341003
0,3,function,4,40,3.6888794541139363
0,3,output,1,56,4.02535169073515
0,3,syntaxBL,1,12,2.4849066497880004
0,3,scaleSM,3,6,1.791759469228055
0,3,scaleST,3,3,1.0986122886681098
0,4,function,3,50,3.912023005428146
0,4,output,1,42,3.7376696182833684
0,4,syntaxBL,1,15,2.70805020110221
0,4,scaleSM,1,4,1.3862943611198906
0,4,scaleST,2,4,1.3862943611198906
0,5,function,5,112,4.718498871295094
0,5,output,1,26,3.258096538021482
0,5,syntaxBL,1,44,3.784189633918261
0,5,scaleSM,3,4,1.3862943611198906
0,5,scaleST,2,5,1.6094379124341003
0,6,function,5,94,4.543294782270004
0,6,output,0,101,4.61512051684126
0,6,syntaxBL,1,7,1.9459101490553132
0,6,scaleSM,4,5,1.6094379124341003
0,6,scaleST,4,3,1.0986122886681098
0,7,function,5,42,3.7376696182833684
0,7,output,1,43,3.7612001156935624
0,7,syntaxBL,1,8,2.0794415416798357
0,7,scaleSM,1,2,0.6931471805599453
0,7,scaleST,2,3,1.0986122886681098
0,8,function,2,55,4.007333185232471
0,8,output,0,79,4.3694478524670215
0,8,syntaxBL,1,9,2.1972245773362196
0,8,scaleSM,3,3,1.0986122886681098
0,8,scaleST,3,3,1.0986122886681098
1,1,function,3,36,3.58351893845611
1,1,output,1,93,4.532599493153256
1,1,syntaxBL,1,6,1.791759469228055
1,1,scaleSM,1,3,1.0986122886681098
1,1,scaleST,1,2,0.6931471805599453
1,2,function,2,43,3.7612001156935624
1,2,output,1,62,4.127134385045092
1,2,syntaxBL,1,6,1.791759469228055
1,2,scaleSM,2,4,1.3862943611198906
1,2,scaleST,3,3,1.0986122886681098
1,3,function,4,52,3.9512437185814275
1,3,output,0,85,4.442651256490317
1,3,syntaxBL,1,19,2.9444389791664403
1,3,scaleSM,4,4,1.3862943611198906
1,3,scaleST,4,5,1.6094379124341003
1,4,function,2,70,4.248495242049359
1,4,output,1,489,6.192362489474872
1,4,syntaxBL,1,10,2.302585092994046
1,4,scaleSM,3,4,1.3862943611198906
1,4,scaleST,3,4,1.3862943611198906
1,5,function,3,33,3.4965075614664802
1,5,output,1,103,4.634728988229636
1,5,syntaxBL,1,14,2.6390573296152584
1,5,scaleSM,3,5,1.6094379124341003
1,5,scaleST,3,3,1.0986122886681098
1,6,function,1,56,4.02535169073515
1,6,output,1,157,5.056245805348308
1,6,syntaxBL,1,6,1.791759469228055
1,6,scaleSM,4,5,1.6094379124341003
1,6,scaleST,3,3,1.0986122886681098
1,7,function,4,31,3.4339872044851463
1,7,output,0,161,5.081404364984463
1,7,syntaxBL,1,9,2.1972245773362196
1,7,scaleSM,1,4,1.3862943611198906
1,7,scaleST,1,3,1.0986122886681098
1,8,function,1,46,3.828641396489095
1,8,output,0,55,4.007333185232471
1,8,syntaxBL,1,6,1.791759469228055
1,8,scaleSM,3,7,1.9459101490553132
1,8,scaleST,5,4,1.3862943611198906
2,1,function,4,71,4.2626798770413155
2,1,output,1,43,3.7612001156935624
2,1,syntaxBL,1,5,1.6094379124341003
2,1,scaleSM,2,2,0.6931471805599453
2,1,scaleST,2,3,1.0986122886681098
2,2,function,3,96,4.564348191467836
2,2,output,1,431,6.066108090103747
2,2,syntaxBL,0,7,1.9459101490553132
2,2,scaleSM,3,5,1.6094379124341003
2,2,scaleST,3,4,1.3862943611198906
2,3,function,1,13,2.5649493574615367
2,3,output,0,68,4.219507705176107
2,3,syntaxBL,1,10,2.302585092994046
2,3,scaleSM,5,3,1.0986122886681098
2,3,scaleST,5,2,0.6931471805599453
2,4,function,1,158,5.062595033026967
2,4,output,0,246,5.5053315359323625
2,4,syntaxBL,1,8,2.0794415416798357
2,4,scaleSM,4,4,1.3862943611198906
2,4,scaleST,4,2,0.6931471805599453
2,5,function,4,193,5.262690188904886
2,5,output,1,87,4.465908118654584
