analysis,outcome,predictor,coef,se,p_value,ci_low,ci_high
PRP acc_function,accuracy,PRP acc_function,0.3288312411915344,0.14568307048032017,0.023997546402418583,0.04329242305010689,0.614370059332962
PRP time_function,time,PRP time_function,5.993165766786851,9.604351733619325,0.5326241466565272,-12.831363631107024,24.81769516468073
PRP time_correct_function,time_correct,PRP time_correct_function,2.917982346275691,7.690130984728355,0.7043573819588593,-12.154674383791884,17.990639076343264
PRP acc_output,accuracy,PRP acc_output,0.35921584890105096,0.17877261120672672,0.04450056080947166,0.008821530935866628,0.7096101668662353
PRP time_output,time,PRP time_output,-2.03788231142116,6.111036601562859,0.7387752166096362,-14.015514050484365,9.939749427642043
PRP time_correct_output,time_correct,PRP time_correct_output,-5.433477116457638,6.840243866088559,0.42699771040632795,-18.840355093991214,7.9734008610759375
PRP acc_syntaxBL,accuracy,PRP acc_syntaxBL,-0.03805834930170267,0.17912831593855452,0.8317449264089799,-0.3891498485412695,0.3130331499378642
PRP time_syntaxBL,time,PRP time_syntaxBL,-1.0510351419187511,0.755568470562572,0.16420961479420504,-2.5319493442213923,0.42987906038389
PRP time_correct_syntaxBL,time_correct,PRP time_correct_syntaxBL,-1.3171709594974748,0.7233745319437708,0.06862662559473727,-2.7349850421072652,0.10064312311231594
PRP readTime,read_time,PRP readTime,-3.1256453306048915,6.751828056172639,0.6434122532081007,-16.359228320703263,10.10793765949348
JavaExp acc_function,accuracy,JavaExp acc_function,-0.11741934746289073,0.18016957816988166,0.5145845756744194,-0.47055172067585876,0.2357130257500773
JavaExp time_function,time,JavaExp time_function,11.815170978713486,9.47463789286591,0.21238598351306448,-6.7551192913037,30.38546124873067
JavaExp time_correct_function,time_correct,JavaExp time_correct_function,7.200795329042687,8.281700171862829,0.3845831465023202,-9.031337007808457,23.432927665893832
JavaExp acc_output,accuracy,JavaExp acc_output,-0.09910374290493543,0.16328362583505932,0.543889190645413,-0.4191396495416517,0.22093216373178085
