analysis,outcome,predictor,coef,se,p_value,ci_low,ci_high
Classmates acc_function,accuracy,ClassMates_z,0.3288312411915344,0.14568307048032017,0.023997546402418583,0.04329242305010689,0.614370059332962
Classmates time_function,time,ClassMates_z,5.993165766786847,9.604351733619318,0.5326241466565272,-12.831363631107015,24.817695164680707
Classmates time_correct_function,time_correct,ClassMates_z,2.9179823462756733,7.6901309847283565,0.7043573819588611,-12.154674383791905,17.99063907634325
Classmates acc_output,accuracy,ClassMates_z,0.35921584890105096,0.17877261120672672,0.04450056080947166,0.008821530935866628,0.7096101668662353
Classmates time_output,time,ClassMates_z,-2.037882311421171,6.111036601562853,0.7387752166096346,-14.015514050484363,9.93974942764202
Classmates time_correct_output,time_correct,ClassMates_z,-5.4334771164576425,6.840243866088561,0.4269977104063275,-18.84035509399122,7.973400861075937
Classmates acc_syntaxBL,accuracy,ClassMates_z,-0.03805834930170267,0.17912831593855452,0.8317449264089799,-0.3891498485412695,0.3130331499378642
Classmates time_syntaxBL,time,ClassMates_z,-1.0510351419187494,0.7555684705625713,0.16420961479420526,-2.531949344221389,0.42987906038389023
Classmates time_correct_syntaxBL,time_correct,ClassMates_z,-1.3171709594974752,0.7233745319437711,0.06862662559473733,-2.7349850421072666,0.10064312311231616
Classmates readTime,read_time,ClassMates_z,-3.125645330604862,6.751828056172639,0.6434122532081037,-16.359228320703235,10.107937659493508
Classmates snippet_total_time,snippet_total_time,ClassMates_z,2.9042483134469386,13.89196861621733,0.8344017735046152,-24.324010174339026,30.132506801232903
JavaExp acc_function,accuracy,JavaYears_z,-0.11741934746289073,0.18016957816988166,0.5145845756744194,-0.47055172067585876,0.2357130257500773
JavaExp time_function,time,JavaYears_z,11.815170978713489,9.47463789286591,0.21238598351306437,-6.755119291303696,30.385461248730675
JavaExp time_correct_function,time_correct,JavaYears_z,7.200795329042683,8.28170017186283,0.3845831465023205,-9.031337007808464,23.432927665893832
JavaExp acc_output,accuracy,JavaYears_z,-0.09910374290493543,0.16328362583505934,0.5438891906454131,-0.4191396495416517,0.2209321637317809
JavaExp time_output,time,JavaYears_z,7.031489669055047,6.12158856827955,0.25070525280374867,-4.966823924772871,19.029803262882965
